postText,postDate,comments
"Bonjour, j'ai pas compris c quoi le problème ?",,
bonsoir brabi carte tempo mte3i désactiver par la banque depuis okus que 2 mois sans raison je suis a l étranger je ne peut pas me déplacer pour vérifier directement avec l agence et mme hachtha beha carte famech une adresse mail wala solution merci d avance,,
